Pelle Programmerare;25;2000;ja;ja;Sverige
Sara Svensson;3;500;nej;nej;Danmark
Kim Karlsson;12;1500;ja;ja;Norge
Anna Andersson;2;300;nej;nej;Sverige
Erik Eriksson;5;1200;ja;ja;Finland
Fatima Hassan;21;3500;nej;ja;Sverige
Johan Johansson;8;750;ja;nej;Danmark
Linnea Lind;1;200;nej;ja;Norge
Ali Ahmed;20;4000;ja;ja;Finland
Emma Ek;6;900;nej;nej;Sverige
Oscar Olsson;30;6000;ja;ja;Norge
Maja Magnusson;4;450;nej;nej;Danmark
Noah Nilsson;15;2200;ja;nej;Sverige
Sofia Sjöberg;2;800;ja;ja;Finland
Amir Aziz;7;1600;nej;ja;Sverige
Elin Engström;22;2800;ja;nej;Danmark
Viktor Vik;5;650;nej;ja;Norge
Nora Nord;10;1800;ja;ja;Finland
David Dahl;1;100;nej;nej;Sverige
Julia Jonsson;35;7500;ja;ja;Norge
